Yr,Mon,Day,Hr,Min,CH4,C2H6
2014,5,18,0,0,1935.31,NA
2014,5,18,0,5,1936.26,NA
2014,5,18,0,10,1934.75,NA
2014,5,18,0,15,1937.74,2.59396
2014,5,18,0,20,1941.1,2.64302
2014,5,18,0,25,1944.84,2.68894
2014,5,18,0,30,1942.22,2.66385
2014,5,18,0,35,1941.94,2.63737
2014,5,18,0,40,1943.08,2.45714
2014,5,18,0,45,1938.93,2.40615
2014,5,18,0,50,1937.15,2.33687
2014,5,18,0,55,1937.8,2.30082
2014,5,18,1,0,1941.21,2.31209
2014,5,18,1,5,1940.69,2.33277
2014,5,18,1,10,1936.97,2.14704
2014,5,18,1,15,1935.7,2.11272
2014,5,18,1,20,1933.58,2.07203
2014,5,18,1,25,1933.24,2.142
2014,5,18,1,30,1931.57,2.2091
2014,5,18,1,35,1935.25,2.32751
2014,5,18,1,40,1937.2,2.20536
2014,5,18,1,45,1937.78,2.16171
2014,5,18,1,50,1934.74,2.10017
2014,5,18,1,55,1938.45,2.14105
2014,5,18,2,0,1936.42,2.13161
2014,5,18,2,5,1935,2.26842
2014,5,18,2,10,1935.06,2.24819
2014,5,18,2,15,1935.92,2.17512
2014,5,18,2,20,1935.22,2.12693
2014,5,18,2,25,1936.22,2.14791
2014,5,18,2,30,1937.05,2.16935
2014,5,18,2,35,1939.15,2.22416
2014,5,18,2,40,1937.84,2.00697
2014,5,18,2,45,1936.63,1.87076
2014,5,18,2,50,1932.98,1.77229
2014,5,18,2,55,1934.54,1.81243
2014,5,18,3,0,1932.99,1.82151
2014,5,18,3,5,1932.38,1.95906
2014,5,18,3,10,1933.09,1.89673
2014,5,18,3,15,1934.04,1.81377
2014,5,18,3,20,1937.01,1.90373
2014,5,18,3,25,1939.28,1.97588
2014,5,18,3,30,1934.24,1.92493
2014,5,18,3,35,1928.49,2.23634
2014,5,18,3,40,1927.54,2.17791
2014,5,18,3,45,1931.19,2.06401
2014,5,18,3,50,1939.16,2.02074
2014,5,18,3,55,1943.15,1.99953
2014,5,18,4,0,1945.53,1.94815
2014,5,18,4,5,1934.5,1.92818
2014,5,18,4,10,1935.77,1.64022
2014,5,18,4,15,1934.85,1.34525
2014,5,18,4,20,1936.39,1.35333
2014,5,18,4,25,1938.83,1.55158
2014,5,18,4,30,1943.45,1.89846
2014,5,18,4,35,1942.01,2.20692
2014,5,18,4,40,1945.84,2.10026
2014,5,18,4,45,1946.59,1.69293
2014,5,18,4,50,1946.73,1.52462
2014,5,18,4,55,1944.95,1.56703
2014,5,18,5,0,1941.75,1.65526
2014,5,18,5,5,1949.45,2.0593
2014,5,18,5,10,1954.54,2.1337
2014,5,18,5,15,1953.06,1.92385
2014,5,18,5,20,1951.54,1.73272
2014,5,18,5,25,1945.73,1.6373
2014,5,18,5,30,1947.95,1.7763
2014,5,18,5,35,1950.56,2.26748
2014,5,18,5,40,1949.78,2.22917
2014,5,18,5,45,1946.57,2.02805
2014,5,18,5,50,1946.34,1.92276
2014,5,18,5,55,1950.66,2.00634
2014,5,18,6,0,1948.84,2.03834
2014,5,18,6,5,1948.6,2.33058
2014,5,18,6,10,1957.85,2.31304
2014,5,18,6,15,1959.14,2.35742
2014,5,18,6,20,1954.35,2.2339
2014,5,18,6,25,1957.35,2.30947
2014,5,18,6,30,1955.5,2.3557
2014,5,18,6,35,1954.2,2.45042
2014,5,18,6,40,1958.36,2.47681
2014,5,18,6,45,1959.03,2.53332
2014,5,18,6,50,1961.09,2.52307
2014,5,18,6,55,1959.45,2.50225
2014,5,18,7,0,1962.04,2.52776
2014,5,18,7,5,1965.45,2.54519
2014,5,18,7,10,1965.24,2.53603
2014,5,18,7,15,1959.12,2.52624
2014,5,18,7,20,1955.45,2.54052
2014,5,18,7,25,1947.1,2.40433
2014,5,18,7,30,1943.49,2.3572
2014,5,18,7,35,1942.93,2.25854
2014,5,18,7,40,1949.28,2.33931
2014,5,18,7,45,1965.27,2.74653
2014,5,18,7,50,1980.1,3.01157
2014,5,18,7,55,1975.09,2.94638
2014,5,18,8,0,1973.67,2.87706
2014,5,18,8,5,1971.91,2.79833
2014,5,18,8,10,1969.4,2.71498
2014,5,18,8,15,1967.3,2.69311
2014,5,18,8,20,1965.4,2.62178
