Yr,Mon,Day,Hr,Min,CH4,C2H6
2012,10,10,4,25,2024.18,2.26658
2012,10,10,4,30,2030.81,3.20887
2012,10,10,4,35,1992.77,2.82388
2012,10,10,4,40,NA,2.1869
2012,10,10,4,45,2008.82,1.95278
2012,10,10,4,50,2003.15,1.92794
2012,10,10,4,55,1975.64,1.35746
2012,10,10,5,0,1974.7,2.41369
2012,10,10,5,5,1984.47,2.76896
2012,10,10,5,10,1999.48,3.72341
2012,10,10,5,15,1999.7,3.79428
2012,10,10,5,20,1991.68,3.3322
2012,10,10,5,25,1987.49,3.35233
2012,10,10,5,30,1993.74,3.65902
2012,10,10,5,35,NA,3.56257
2012,10,10,5,40,1984.55,3.60969
2012,10,10,5,45,1968.41,4.08554
2012,10,10,5,50,1954.14,4.4525
2012,10,10,5,55,1943.29,4.2059
2012,10,10,6,0,1953.76,3.51307
2012,10,10,6,5,1955.15,3.29608
2012,10,10,6,10,2038.9,5.23248
2012,10,10,6,15,2047.04,5.87651
2012,10,10,6,20,2032.73,5.16429
2012,10,10,6,25,2033.65,5.96347
2012,10,10,6,30,2033.2,5.00928
2012,10,10,6,35,2031.4,4.79136
2012,10,10,6,40,2024.73,4.16849
2012,10,10,6,45,2041.08,4.32427
2012,10,10,6,50,2034.25,4.54074
2012,10,10,6,55,2022.42,4.32982
2012,10,10,7,0,2022.08,4.31469
2012,10,10,7,5,2011.58,3.66691
2012,10,10,7,10,2017.06,3.92006
2012,10,10,7,15,2011.02,3.55379
2012,10,10,7,20,2009.86,3.75573
2012,10,10,7,25,2003.9,3.44326
2012,10,10,7,30,2008.12,4.10013
2012,10,10,7,35,1999.04,3.77391
2012,10,10,7,40,2009.52,4.43784
2012,10,10,7,45,2019.25,4.29954
2012,10,10,7,50,2009.47,3.78119
2012,10,10,7,55,2014.89,4.3078
2012,10,10,8,0,2023.22,4.87765
2012,10,10,8,5,2034.05,5.07645
2012,10,10,8,10,2034.1,5.52063
2012,10,10,8,15,2036.6,5.34724
2012,10,10,8,20,2031.68,4.73897
2012,10,10,8,25,2033.14,4.97787
2012,10,10,8,30,2043.41,5.86523
2012,10,10,8,35,2046.95,5.68895
2012,10,10,8,40,2061.55,6.08836
2012,10,10,8,45,2076.49,6.29416
2012,10,10,8,50,2059.93,5.12859
2012,10,10,8,55,2071.65,4.88303
2012,10,10,9,0,2072.83,6.0326
2012,10,10,9,5,2069.44,6.0251
2012,10,10,9,10,2074.93,6.29217
