Yr,Mn,Dy,Hr,Obs,Mod.enh,Bg_quant_0.05,Bg_quant_0.06,Bg_quant_0.07,Bg_quant_0.08,Bg_quant_0.09,Bg_quant_0.1,Bg_quant_0.11,Bg_quant_0.12,Bg_quant_0.13,Bg_quant_0.14,Bg_quant_0.15,Bg_quant_0.16,Bg_quant_0.17,Bg_quant_0.18,Bg_quant_0.19,Bg_quant_0.2,Bg_quant_0.21,Bg_quant_0.22,Bg_quant_0.23,Bg_quant_0.24,Bg_quant_0.25,Bg_quant_0.26,Bg_quant_0.27,Bg_quant_0.28,Bg_quant_0.29,Bg_quant_0.3,Bg_quant_0.31,Bg_quant_0.32,Bg_quant_0.33,Bg_quant_0.34,Bg_quant_0.35
2012,9,1,0,1932.46,9.83484,1896.42,1897.77,1899.25,1900.79,1902.06,1903.04,1904.01,1904.94,1905.74,1906.08,1906.41,1906.72,1907.02,1908.01,1909.02,1910.1,1911.2,1913.45,1916.14,1918.22,1919.88,1921.01,1921.53,1922.07,1922.65,1923.25,1923.88,1924.46,1924.55,1924.64,1924.95
2012,9,1,1,1940.8,4.50519,1900.26,1901.68,1902.81,1903.76,1904.64,1905.43,1906.04,1906.29,1906.6,1907.1,1907.64,1908.65,1909.65,1911.16,1912.68,1914.76,1916.93,1918.69,1920.3,1921.22,1921.69,1921.96,1922.01,1922.25,1922.83,1923.43,1924.06,1924.64,1924.64,1924.65,1924.95
2012,9,1,2,1950.3,9.37713,1902.13,1903.07,1904.07,1905.11,1905.8,1906.13,1906.41,1906.58,1907.03,1908.37,1909.69,1910.82,1911.95,1914.27,1916.62,1917.42,1917.95,1919.13,1920.54,1921.35,1921.76,1921.99,1922.03,1922.25,1922.83,1923.43,1924.06,1924.64,1924.64,1924.65,1924.95
2012,9,1,3,1946.76,10.1378,1902.42,1903.27,1904.34,1905.54,1906.25,1906.46,1907.03,1908.21,1909.36,1910.45,1911.56,1912.88,1914.21,1915.79,1917.39,1917.84,1918.08,1919.16,1920.55,1921.36,1921.76,1921.99,1922.03,1922.25,1922.83,1923.43,1924.06,1924.64,1924.64,1924.65,1924.95
2012,9,1,4,1950.18,7.71748,1902.48,1903.31,1904.48,1905.84,1907.01,1907.96,1909.02,1910.29,1911.45,1912.31,1913.14,1913.84,1914.53,1916.02,1917.53,1917.92,1918.11,1919.17,1920.56,1921.36,1921.76,1921.99,1922.03,1922.25,1922.83,1923.43,1924.06,1924.64,1924.64,1924.65,1924.95
2012,9,1,5,1953.9,4.77093,1903.1,1904.11,1905.17,1906.25,1907.63,1909.34,1910.69,1911.42,1912.21,1913.22,1914.15,1914.35,1914.55,1916.02,1917.53,1917.92,1918.11,1919.17,1920.56,1921.36,1921.76,1921.99,1922.03,1922.25,1922.83,1923.43,1924.06,1924.64,1924.64,1924.65,1924.95
2012,9,1,6,1946.16,1.86339,1904.44,1905.84,1906.68,1907.17,1908.24,1909.89,1911.19,1911.85,1912.58,1913.52,1914.39,1914.65,1914.91,1916.24,1917.6,1918.08,1918.4,1919.42,1920.7,1921.43,1921.79,1922.03,1922.13,1922.39,1922.98,1923.57,1924.13,1924.64,1924.68,1924.72,1925.01
2012,9,1,7,1941.51,18.1976,1904.62,1906.13,1907.56,1908.93,1910.1,1911.06,1912,1912.93,1913.73,1914.11,1914.57,1915.65,1916.72,1917.34,1917.94,1918.9,1919.91,1920.71,1921.42,1921.8,1921.95,1922.22,1922.63,1923.11,1923.73,1924.26,1924.46,1924.66,1924.88,1925.1,1925.3
2012,9,1,8,1953.01,3.8271,1904.7,1906.16,1906.96,1907.34,1908.33,1909.94,1911.21,1911.89,1912.62,1913.54,1914.39,1914.68,1914.97,1916.26,1917.57,1918.08,1918.45,1919.45,1920.69,1921.42,1921.79,1922.04,1922.14,1922.42,1923.01,1923.59,1924.14,1924.66,1924.97,1925.28,1925.43
2012,9,1,9,2384.27,11.0246,1904.66,1906.05,1906.78,1907.09,1908.01,1909.56,1910.83,1911.57,1912.36,1913.31,1914.18,1914.46,1914.73,1915.99,1917.28,1917.8,1918.2,1919.18,1920.4,1921.19,1921.71,1922.01,1922.08,1922.33,1922.92,1923.5,1924.1,1924.66,1924.98,1925.29,1925.44
